Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15,Input16,Input17,Input18,Input19,Input20,Input21,Input22,Output1,Output2,Output3
1.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
2.0,2.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
4.0,2.0,3.0,3.0,0.0,3.0,3.0,7.0,4.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,0.0,1.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,3.0,3.0,3.0,10.0,3.0,1.0,0.0,0.0,0.0,1.0
2.0,2.0,1.0,1.0,0.0,1.0,1.0,11.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,12.0,2.0,2.0,0.0,0.0,1.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,3.0,3.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0
2.0,2.0,1.0,1.0,0.0,1.0,1.0,13.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,14.0,2.0,2.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,20.0,3.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,3.0,0.0,3.0,0.0,1.5,6.0,0.5,0.5,1.0,2.0,0.0,6.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,5.0,1.0,0.0,1.0,0.0,0.5,14.0,1.0,2.5,1.0,5.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,2.5,1.0,0.0,0.0,0.0,1.0
3.0,2.0,3.0,0.0,3.0,0.0,1.5,16.0,1.5,1.0,1.0,6.0,3.0,6.0,3.0,3.0,3.0,3.0,7.0,3.0,1.5,0.0,0.0,0.0,1.0
3.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,1.5,3.5,1.0,4.0,4.0,3.0,0.0,3.0,3.0,1.5,9.0,2.0,2.0,0.0,0.0,0.0,1.0
4.0,2.0,4.0,3.0,1.0,3.0,2.0,12.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.5,13.0,1.0,2.0,0.0,1.0,0.0,0.0
2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.5,19.0,0.0,1.5,0.0,0.0,1.0,0.0
2.0,3.0,1.0,1.0,0.0,1.0,0.5,4.0,1.0,1.5,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.5,17.0,1.0,1.5,0.0,0.0,1.0,0.0
4.0,3.0,3.0,0.0,3.0,0.0,1.5,10.0,2.0,1.5,1.0,2.0,3.0,3.0,0.0,3.0,3.0,1.5,15.0,1.0,1.5,0.0,0.0,0.0,1.0
6.0,0.0,6.0,3.0,3.0,3.0,3.0,20.0,3.0,0.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0,0.5,11.0,1.0,2.5,0.0,1.0,0.0,0.0
2.0,0.0,6.0,3.0,3.0,3.0,3.0,18.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0
2.0,0.0,7.0,4.0,3.0,1.0,2.3333333333333335,1.0,0.6666666666666666,0.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,0.6666666666666666,13.0,0.6666666666666666,1.3333333333333333,0.0,0.0,1.0,0.0
7.0,4.0,7.0,4.0,3.0,1.0,2.3333333333333335,7.0,2.3333333333333335,1.3333333333333333,1.0,3.0,4.0,2.0,1.0,1.0,1.0,0.6666666666666666,5.0,1.0,1.3333333333333333,0.0,0.0,1.0,0.0
6.0,4.0,6.0,3.0,3.0,3.0,2.0,10.0,2.0,1.3333333333333333,1.0,2.0,3.0,3.0,0.0,3.0,0.0,1.0,2.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0
5.0,5.0,4.0,1.0,3.0,1.0,1.3333333333333333,9.0,1.6666666666666667,1.6666666666666667,1.0,3.0,4.0,2.0,0.0,2.0,1.0,0.6666666666666666,17.0,1.0,1.3333333333333333,0.0,0.0,1.0,0.0
4.0,8.0,1.0,1.0,0.0,1.0,0.3333333333333333,8.0,1.3333333333333333,2.6666666666666665,1.0,5.0,3.0,5.0,3.0,2.0,1.0,1.6666666666666667,12.0,1.6666666666666667,1.0,0.0,0.0,1.0,0.0
6.0,6.0,3.0,0.0,3.0,0.0,1.0,16.0,2.0,2.0,1.0,4.0,5.0,3.0,0.0,3.0,3.0,1.0,6.0,1.3333333333333333,1.6666666666666667,0.0,0.0,0.0,1.0
2.0,6.0,1.0,0.0,1.0,0.0,0.3333333333333333,19.0,0.6666666666666666,2.0,1.0,5.0,7.0,4.0,1.0,3.0,3.0,1.3333333333333333,11.0,1.6666666666666667,2.3333333333333335,0.0,0.0,0.0,1.0
5.0,4.0,4.0,1.0,3.0,0.0,1.3333333333333333,3.0,1.6666666666666667,1.3333333333333333,1.0,8.0,0.0,9.0,3.0,6.0,3.0,3.0,20.0,2.6666666666666665,0.0,0.0,0.0,0.0,1.0
2.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,0.6666666666666666,0.6666666666666666,1.0,2.0,5.0,2.0,0.0,2.0,1.0,0.6666666666666666,14.0,0.6666666666666666,1.6666666666666667,0.0,0.0,1.0,0.0
2.0,3.0,4.0,1.0,3.0,1.0,1.3333333333333333,15.0,0.6666666666666666,1.0,1.0,2.0,0.0,7.0,3.0,4.0,1.0,2.3333333333333335,18.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0
2.0,5.0,2.0,1.0,1.0,0.0,0.5,13.0,0.5,1.25,1.0,3.0,3.0,7.0,1.0,6.0,3.0,1.75,15.0,0.75,0.75,0.0,0.0,0.0,1.0
2.0,3.0,7.0,3.0,4.0,0.0,1.75,18.0,0.5,0.75,1.0,9.0,6.0,6.0,0.0,6.0,3.0,1.5,16.0,2.25,1.5,0.0,0.0,0.0,1.0
3.0,5.0,2.0,0.0,2.0,0.0,0.5,17.0,0.75,1.25,1.0,3.0,6.0,4.0,0.0,4.0,3.0,1.0,19.0,0.75,1.5,0.0,0.0,0.0,1.0
10.0,0.0,12.0,6.0,6.0,3.0,3.0,20.0,2.5,0.0,1.0,2.0,4.0,3.0,2.0,1.0,0.0,0.75,5.0,0.5,1.0,0.0,1.0,0.0,0.0
5.0,6.0,4.0,1.0,3.0,1.0,1.0,8.0,1.25,1.5,1.0,8.0,5.0,8.0,4.0,4.0,1.0,2.0,1.0,2.0,1.25,0.0,0.0,1.0,0.0
6.0,9.0,4.0,1.0,3.0,0.0,1.0,11.0,1.5,2.25,1.0,8.0,5.0,9.0,3.0,6.0,3.0,2.25,10.0,2.0,1.25,0.0,0.0,0.0,1.0
4.0,5.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,1.25,1.0,6.0,10.0,2.0,1.0,1.0,1.0,0.5,6.0,1.5,2.5,0.0,0.0,1.0,0.0
3.0,4.0,3.0,2.0,1.0,1.0,0.75,7.0,0.75,1.0,1.0,5.0,4.0,5.0,1.0,4.0,1.0,1.25,4.0,1.25,1.0,0.0,0.0,1.0,0.0
5.0,5.0,5.0,3.0,2.0,3.0,1.25,14.0,1.25,1.25,1.0,5.0,8.0,4.0,1.0,3.0,0.0,1.0,9.0,1.25,2.0,0.0,1.0,0.0,0.0
7.0,4.0,8.0,6.0,2.0,3.0,2.0,12.0,1.75,1.0,1.0,3.0,2.0,7.0,4.0,3.0,0.0,1.75,2.0,0.75,0.5,0.0,1.0,0.0,0.0
8.0,5.0,8.0,4.0,4.0,3.0,1.6,5.0,1.6,1.0,1.0,7.0,12.0,4.0,1.0,3.0,0.0,0.8,11.0,1.4,2.4,0.0,1.0,0.0,0.0
3.0,6.0,5.0,1.0,4.0,1.0,1.0,19.0,0.6,1.2,1.0,5.0,5.0,6.0,3.0,3.0,1.0,1.2,14.0,1.0,1.0,0.0,0.0,1.0,0.0
8.0,9.0,7.0,4.0,3.0,3.0,1.4,8.0,1.6,1.8,1.0,6.0,9.0,4.0,1.0,3.0,0.0,0.8,10.0,1.2,1.8,0.0,1.0,0.0,0.0
